post_title,post_content,direccion,coordenada,tipoligia,agua,luz,cobertura,estado_conservacion,propiedad,ID,Excerpt,Image URL,Image Filename,Image Path,Image ID,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured
Iglesia de Villamorón,Templo fortificado gótico del siglo XIII,"C. Villamoron, 35, 09128 Villamorón.",42° 28′ 20″ N - 4° 01′30 ″ W.,iglesia.,sí.,sí.,sí.,medio.,"Archidiócesis de Burgos, es necesario contacto previo para el acceso.",3223,Villamorón,https://burgosfilmcommission.org/wp-content/uploads/2021/04/2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/7.jpg,2.jpg|1.jpg|7.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/7.jpg,3384|3380|3382,Iglesia Villamorón|Iglesia Villamorón|Iglesia Villamorón,||,||,Iglesia Villamorón|Iglesia Villamorón|Iglesia Villamorón,https://burgosfilmcommission.org/wp-content/uploads/2021/04/2.jpg
Estación de Rabanera,"Antigüa estación de Rabanera del Pinar, perteneciente a la línea de FFCC Santander - Mediterráneo ya en desuso.
Destaca el hecho de mantener las vías de ferrocarril, el depósito de agua y un grifo.","Calle Estacion, 14, 09660 Rabanera del Pinar.",41º 53´ 18´´ N / 3º 11´ 51´´ W,edificación civil.,sí.,sí.,sí.,bueno.,"gestión privada, es necesario contacto previo para el acceso.",3238,Rabanera del Pinar,https://burgosfilmcommission.org/wp-content/uploads/2021/11/EstacionRabanera2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/11/EstacionRabanera1.jpg,EstacionRabanera2.jpg|EstacionRabanera1.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/11/EstacionRabanera2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/11/EstacionRabanera1.jpg,9099|9097,EstacionRabanera2|EstacionRabanera1,|,|,|,https://burgosfilmcommission.org/wp-content/uploads/2021/11/EstacionRabanera2.jpg
Antiguo hospital de Oña,Antigüo colegio Jesuíta reconvertido a hospital psiquiátrico hasta finales del siglo pasado. Actualmente en desuso.,"Pl. Convento, 5, 09530 Oña.",42º 44´ 03´´ N / 3º 24´ 49´´ W,edificación civil.,sí.,sí.,sí.,medio..,"Diputación de Burgos, es necesario contacto previo para el acceso.",3244,Oña,https://burgosfilmcommission.org/wp-content/uploads/2021/04/ona12.jpg,ona12.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/ona12.jpg,3065,Monasterio Oña,,,Monasterio Oña,https://burgosfilmcommission.org/wp-content/uploads/2021/04/ona12.jpg
Mina de Olmos de Atapuerca,Galerías subterráneas con elementos de minería.,"Camino de Fuente Paldeja 09199, Olmos de Atapuerca.",42º 23´ 15´´ N / 3º 32´ 39´´ W,galerías subterráneas- cuevas.,no.,mediante generadores.,"sí en el exterior, no en las galerías.",bueno.,"gestión privada, es necesario contacto previo para el acceso.",3378,Olmos de Atapuerca,https://burgosfilmcommission.org/wp-content/uploads/2021/04/MG_7079-1-2.jpg,MG_7079-1-2.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/MG_7079-1-2.jpg,1408,Mina Olmos de Atapuerca,,,,https://burgosfilmcommission.org/wp-content/uploads/2021/04/MG_7079-1-2.jpg
Vivienda de los 80,Edificación de dos alturas con la típica decoración de los años 80.,"Pl. Mayor, 18, 09660 Hontoria del Pinar.",41º 50´ 46´´ N / 3º 09´ 43´´ W,vivienda.,sí.,sí.,sí.,medio.,"privada, es necesario contacto previo para el acceso.",3389,Hontoria del Pinar,https://burgosfilmcommission.org/wp-content/uploads/2021/10/moda1.jpg,moda1.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/10/moda1.jpg,3370,Miraflores,,,Miraflores,https://burgosfilmcommission.org/wp-content/uploads/2021/10/moda1.jpg
Balneario de Valdelateja,"Antigüo balneario en la margen izquierda del río Rudrón, a las afueras de Valdelateja.","C/ Santa Elena s/n, 09145, Valdelateja.",42º 46´ 18´´ N / 3º 46´ 36´´ W,"edificio aislado con tres plantas y amplia zona exterior de jardines e incluso piscina. Actualmente, en desuso.",sí.,sí.,sí.,medio.,"privada, es necesario contacto previo para el acceso.",3393,Valdelateja,https://burgosfilmcommission.org/wp-content/uploads/2021/11/balneario4.jpg,balneario4.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/11/balneario4.jpg,3403,Balneario,,,Balneario,https://burgosfilmcommission.org/wp-content/uploads/2021/11/balneario4.jpg
Coto de Valverde,"Finca ganadera, agrícola y cinegética con miles de hectáreas de campos de cereal, monte bajo, robledales y encinar. Situado a dos kilómetros de Arandilla, en la zona limítrofe entre la Ribera del Duero y la Sierra, confluyendo paisajes de ambos tipos.","Valverde, 09410.",41º 43´ 11´´ N / 3º 24´ 60´´ W,"vivienda, ermita, granjas, corrales.",sí.,sí.,sí.,bueno.,"privada, es necesario contacto previo para el acceso.",3395,Valverde - Arandilla,https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde5.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/IMG_6679w.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde3.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde4.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde6.jpg,CotoValverde5.jpg|IMG_6679w.jpg|CotoValverde1.jpg|CotoValverde2.jpg|CotoValverde3.jpg|CotoValverde4.jpg|CotoValverde6.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde5.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/IMG_6679w.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde3.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde4.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde6.jpg,3425|3415|3417|3419|3421|3423|3427,Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde,||||||,||||||,Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde,https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde5.jpg
Taller Textil Antonaga,Nave industrial con maquinaria textil en funcionamiento.,"Pol. Ind. la Vega, C. Palencia, 5, 09240 Briviesca.",42º 33´ 42´´ N / 3º 19´ 06´´ W,nave industrial.,sí.,sí.,sí.,medio.,"privada, es necesario contacto previo para el acceso.",3397,Briviesca,https://burgosfilmcommission.org/wp-content/uploads/2021/04/e4bcecff-a998-433d-b3f4-8e4cc5246e00.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Antonaga6.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Antonaga7.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Antonaga8.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Antonaga9.jpg,e4bcecff-a998-433d-b3f4-8e4cc5246e00.jpg|Antonaga6.jpg|Antonaga7.jpg|Antonaga8.jpg|Antonaga9.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/e4bcecff-a998-433d-b3f4-8e4cc5246e00.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Antonaga6.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Antonaga7.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Antonaga8.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Antonaga9.jpg,3442|3434|3436|3438|3440,Textil Antonaga|Textil Antonaga|Textil Antonaga|Textil Antonaga|Textil Antonaga,||||,||||,Textil Antonaga|Textil Antonaga|Textil Antonaga|Textil Antonaga|Textil Antonaga,https://burgosfilmcommission.org/wp-content/uploads/2021/04/e4bcecff-a998-433d-b3f4-8e4cc5246e00.jpg
Gasolinera de San Juan del Monte,"Gasolinera en desuso, aspecto de primeros de siglo, con surtidores intactos. Situada en una carretera con los típicos paisajes de la Ribera del Duero, mezcla de viñedos y campos de cereal.",San Juan del Monte,41º 50´ 46´´ N / 3º 09´ 43´´ W,gasolinera,sí.,no.,sí.,medio.,"privada, es necesario contacto previo para el acceso.",3413,San Juan del Monte,https://burgosfilmcommission.org/wp-content/uploads/2021/04/sanjuan3.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/sanjuan1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/sanjuan2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/sanjuan4.jpg,sanjuan3.jpg|sanjuan1.jpg|sanjuan2.jpg|sanjuan4.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/sanjuan3.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/sanjuan1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/sanjuan2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/sanjuan4.jpg,3460|3456|3458|3462,Gasolinera San Juan|Gasolinera San Juan|Gasolinera San Juan|Gasolinera San Juan,|||,|||,Gasolinera San Juan|Gasolinera San Juan|Gasolinera San Juan|Gasolinera San Juan,https://burgosfilmcommission.org/wp-content/uploads/2021/04/sanjuan3.jpg
Necrópolis de Cuyacabras,Yacimiento medieval con más de 200 tumbas antropomórficas excavadas en la roca arenisca.,"Quintanar de la Sierra, 09670.",41º 59´ 29´´ N / 2º 59´ 47´´ W,cementerio medieval.,no.,no.,no.,bueno.,"Bien de Interés Cultural, pero el acceso es libre y gratuito para cualquier visita.",3431,Quintanar de la Sierra,https://burgosfilmcommission.org/wp-content/uploads/2021/04/20200812_185224.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/20200812_184521.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/20200812_184746.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/20200812_184901.jpg,20200812_185224.jpg|20200812_184521.jpg|20200812_184746.jpg|20200812_184901.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/20200812_185224.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/20200812_184521.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/20200812_184746.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/20200812_184901.jpg,3452|3446|3448|3450,Necrópolis|Necrópolis|Necrópolis|Necrópolis,|||,|||,Necrópolis|Necrópolis|Necrópolis|Necrópolis,https://burgosfilmcommission.org/wp-content/uploads/2021/04/20200812_185224.jpg
Biblioteca de Quintanalara,Antiguo potro reconvertido en Biblioteca municipal.,"C. San Antonio, 10, 09647 Quintanalara.",42º 10´ 29´´ N / 3º 32´ 00´´ W,"construcción rústica, antiguo potro.",sí.,sí.,sí.,bueno.,"municipal, acceso libre.",3465,Quintanalara,https://burgosfilmcommission.org/wp-content/uploads/2021/11/quintanalara2.jpg,quintanalara2.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/11/quintanalara2.jpg,3469,Quintanalara,,,Quintanalara,https://burgosfilmcommission.org/wp-content/uploads/2021/11/quintanalara2.jpg
Quintanalara library,Old colt converted into a municipal library.,,,,,,,,,3769,Quintanalara,https://burgosfilmcommission.org/wp-content/uploads/2021/11/quintanalara2.jpg,quintanalara2.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/11/quintanalara2.jpg,3470,quintanalara2,,,Quintanalara,https://burgosfilmcommission.org/wp-content/uploads/2021/11/quintanalara2.jpg
San Juan del Monte petrol station,"Gas station in disuse, appearance of the first century, with intact pumps. Located on a road with the typical landscapes of the Ribera del Duero, a mixture of vineyards and cereal fields.",,,,,,,,"Private, prior contact is required for access.",3772,San Juan del Monte,https://burgosfilmcommission.org/wp-content/uploads/2021/04/sanjuan3.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/sanjuan1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/sanjuan2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/sanjuan4.jpg,sanjuan3.jpg|sanjuan1.jpg|sanjuan2.jpg|sanjuan4.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/sanjuan3.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/sanjuan1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/sanjuan2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/sanjuan4.jpg,3461|3457|3459|3463,sanjuan3|sanjuan1|sanjuan2|sanjuan4,|||,|||,Gasolinera San Juan|Gasolinera San Juan|Gasolinera San Juan|Gasolinera San Juan,https://burgosfilmcommission.org/wp-content/uploads/2021/04/sanjuan3.jpg
